Date;Vacance A;Vacances B;Vacances C;Férié;Vacance A Bool;Vacances B Bool;Vacances C Bool;Vacances;Férié Bool
01/07/2015;1;1;1;;VRAI;VRAI;VRAI;VRAI;FAUX
02/07/2015;1;1;1;;VRAI;VRAI;VRAI;VRAI;FAUX
03/07/2015;1;1;1;;VRAI;VRAI;VRAI;VRAI;FAUX
04/07/2015;1;1;1;;VRAI;VRAI;VRAI;VRAI;FAUX
05/07/2015;1;1;1;;VRAI;VRAI;VRAI;VRAI;FAUX
06/07/2015;1;1;1;;VRAI;VRAI;VRAI;VRAI;FAUX
07/07/2015;1;1;1;;VRAI;VRAI;VRAI;VRAI;FAUX
08/07/2015;1;1;1;;VRAI;VRAI;VRAI;VRAI;FAUX
09/07/2015;1;1;1;;VRAI;VRAI;VRAI;VRAI;FAUX
10/07/2015;1;1;1;;VRAI;VRAI;VRAI;VRAI;FAUX
11/07/2015;1;1;1;;VRAI;VRAI;VRAI;VRAI;FAUX
12/07/2015;1;1;1;;VRAI;VRAI;VRAI;VRAI;FAUX
13/07/2015;1;1;1;;VRAI;VRAI;VRAI;VRAI;FAUX
14/07/2015;1;1;1;1;VRAI;VRAI;VRAI;VRAI;VRAI
15/07/2015;1;1;1;;VRAI;VRAI;VRAI;VRAI;FAUX
16/07/2015;1;1;1;;VRAI;VRAI;VRAI;VRAI;FAUX
17/07/2015;1;1;1;;VRAI;VRAI;VRAI;VRAI;FAUX
18/07/2015;1;1;1;;VRAI;VRAI;VRAI;VRAI;FAUX
19/07/2015;1;1;1;;VRAI;VRAI;VRAI;VRAI;FAUX
20/07/2015;1;1;1;;VRAI;VRAI;VRAI;VRAI;FAUX
21/07/2015;1;1;1;;VRAI;VRAI;VRAI;VRAI;FAUX
22/07/2015;1;1;1;;VRAI;VRAI;VRAI;VRAI;FAUX
23/07/2015;1;1;1;;VRAI;VRAI;VRAI;VRAI;FAUX
24/07/2015;1;1;1;;VRAI;VRAI;VRAI;VRAI;FAUX
25/07/2015;1;1;1;;VRAI;VRAI;VRAI;VRAI;FAUX
26/07/2015;1;1;1;;VRAI;VRAI;VRAI;VRAI;FAUX
27/07/2015;1;1;1;;VRAI;VRAI;VRAI;VRAI;FAUX
28/07/2015;1;1;1;;VRAI;VRAI;VRAI;VRAI;FAUX
29/07/2015;1;1;1;;VRAI;VRAI;VRAI;VRAI;FAUX
30/07/2015;1;1;1;;VRAI;VRAI;VRAI;VRAI;FAUX
31/07/2015;1;1;1;;VRAI;VRAI;VRAI;VRAI;FAUX
01/08/2015;1;1;1;;VRAI;VRAI;VRAI;VRAI;FAUX
02/08/2015;1;1;1;;VRAI;VRAI;VRAI;VRAI;FAUX
03/08/2015;1;1;1;;VRAI;VRAI;VRAI;VRAI;FAUX
04/08/2015;1;1;1;;VRAI;VRAI;VRAI;VRAI;FAUX
05/08/2015;1;1;1;;VRAI;VRAI;VRAI;VRAI;FAUX
06/08/2015;1;1;1;;VRAI;VRAI;VRAI;VRAI;FAUX
07/08/2015;1;1;1;;VRAI;VRAI;VRAI;VRAI;FAUX
08/08/2015;1;1;1;;VRAI;VRAI;VRAI;VRAI;FAUX
09/08/2015;1;1;1;;VRAI;VRAI;VRAI;VRAI;FAUX
10/08/2015;1;1;1;;VRAI;VRAI;VRAI;VRAI;FAUX
11/08/2015;1;1;1;;VRAI;VRAI;VRAI;VRAI;FAUX
12/08/2015;1;1;1;;VRAI;VRAI;VRAI;VRAI;FAUX
13/08/2015;1;1;1;;VRAI;VRAI;VRAI;VRAI;FAUX
14/08/2015;1;1;1;;VRAI;VRAI;VRAI;VRAI;FAUX
15/08/2015;1;1;1;1;VRAI;VRAI;VRAI;VRAI;VRAI
16/08/2015;1;1;1;;VRAI;VRAI;VRAI;VRAI;FAUX
17/08/2015;1;1;1;;VRAI;VRAI;VRAI;VRAI;FAUX
18/08/2015;1;1;1;;VRAI;VRAI;VRAI;VRAI;FAUX
19/08/2015;1;1;1;;VRAI;VRAI;VRAI;VRAI;FAUX
20/08/2015;1;1;1;;VRAI;VRAI;VRAI;VRAI;FAUX
21/08/2015;1;1;1;;VRAI;VRAI;VRAI;VRAI;FAUX
22/08/2015;1;1;1;;VRAI;VRAI;VRAI;VRAI;FAUX
23/08/2015;1;1;1;;VRAI;VRAI;VRAI;VRAI;FAUX
