;Unnamed: 0;numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;Unnamed: 59;formattedDate
10;10;7149;20150701000000;101430;-80;7;110;1.300000;296.950000;285.250000;48;59790;2;0;0;0;0;mq;30;20;10;100390;mq;mq;-700;mq;mq;mq;mq;mq;mq;mq;2.800000;2.800000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;;2015-07-01 00:00:00
66;66;7149;20150701030000;101450;10;3;110;0.700000;292.850000;285.650000;63;35000;3;0;0;10;0;8000;30;20;11;100400;mq;mq;-600;mq;mq;mq;mq;mq;mq;mq;1.000000;1.500000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;0;8000;mq;mq;mq;mq;mq;mq;mq;mq;mq;;2015-07-01 03:00:00
122;122;7149;20150701060000;101450;10;3;120;1.600000;296.150000;286.850000;56;25000;3;0;0;40;1;5500;30;23;11;100410;mq;mq;-580;291.350000;mq;305.050000;mq;mq;mq;mq;2.800000;2.800000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;3;5500;3;0;8000;mq;mq;mq;mq;mq;mq;;2015-07-01 06:00:00
179;179;7149;20150701090000;101350;-70;7;140;3.200000;303.250000;289.250000;43;25000;3;0;0;10;0;8000;30;20;12;100340;mq;mq;-560;mq;mq;mq;mq;mq;mq;mq;4.800000;5.800000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;0;8000;mq;mq;mq;mq;mq;mq;mq;mq;mq;;2015-07-01 09:00:00
232;232;7149;20150701120000;101240;-90;6;140;4.400000;309.450000;290.650000;33;35000;1;0;0;10;1;4200;30;28;10;100250;mq;mq;-480;mq;mq;mq;mq;mq;mq;mq;10.100000;10.100000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;3;4200;mq;mq;mq;mq;mq;mq;mq;mq;mq;;2015-07-01 12:00:00
284;284;7149;20150701150000;101140;-90;6;180;3.400000;311.950000;287.050000;23;47210;3;0;0;10;1;5400;30;28;10;100160;mq;mq;-410;mq;mq;mq;mq;mq;mq;mq;6.800000;7.800000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;3;5400;mq;mq;mq;mq;mq;mq;mq;mq;mq;;2015-07-01 15:00:00
338;338;7149;20150701180000;101160;10;3;210;5.000000;310.050000;287.350000;26;30330;1;0;0;10;1;5400;30;28;10;100170;mq;mq;-290;296.050000;mq;312.150000;mq;mq;mq;mq;9.000000;9.000000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;3;5400;mq;mq;mq;mq;mq;mq;mq;mq;mq;;2015-07-01 18:00:00
394;394;7149;20150701210000;101390;210;1;250;2.800000;303.150000;289.250000;43;35000;2;0;0;25;1;5400;30;28;11;100380;mq;mq;-90;mq;mq;mq;mq;mq;mq;mq;3.700000;5.700000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;3;5400;1;0;7800;mq;mq;mq;mq;mq;mq;;2015-07-01 21:00:00
450;450;7149;20150702000000;101550;140;3;310;2.200000;299.150000;291.850000;64;25000;2;0;0;10;1;5160;30;28;10;100520;mq;mq;130;mq;mq;mq;mq;mq;mq;mq;3.800000;5.300000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;3;5160;mq;mq;mq;mq;mq;mq;mq;mq;mq;;2015-07-02 00:00:00
506;506;7149;20150702030000;101640;80;3;350;2.600000;296.250000;290.750000;71;25000;3;0;0;25;2;4440;30;28;10;100600;mq;mq;200;mq;mq;mq;mq;mq;mq;mq;3.800000;6.800000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;2;3;4440;mq;mq;mq;mq;mq;mq;mq;mq;mq;;2015-07-02 03:00:00
562;562;7149;20150702060000;101690;50;1;350;4.200000;296.250000;290.750000;71;12760;1;2;2;60;5;4800;30;28;10;100650;mq;mq;240;295.250000;mq;310.050000;mq;mq;mq;mq;9.400000;9.400000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;5;3;4800;mq;mq;mq;mq;mq;mq;mq;mq;mq;;2015-07-02 06:00:00
615;615;7149;20150702090000;101730;50;1;340;2.800000;299.750000;291.350000;60;22000;1;2;2;60;2;5200;30;28;11;100700;mq;mq;360;mq;mq;mq;mq;mq;mq;mq;6.500000;9.100000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;2;3;5200;4;0;8000;mq;mq;mq;mq;mq;mq;;2015-07-02 09:00:00
668;668;7149;20150702120000;101740;20;1;20;3.500000;301.550000;289.850000;49;25000;3;0;0;40;1;5400;30;28;11;100720;mq;mq;470;mq;mq;mq;mq;mq;mq;mq;6.600000;9.500000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;1;3;5400;3;0;8000;mq;mq;mq;mq;mq;mq;;2015-07-02 12:00:00
718;718;7149;20150702150000;101810;70;3;40;2.000000;303.750000;290.850000;46;17830;3;1;1;75;2;1750;32;28;11;100790;mq;mq;630;mq;mq;mq;mq;mq;mq;mq;3.800000;5.800000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;2;8;1580;1;8;1800;3;3;6500;4;0;8000;;2015-07-02 15:00:00
769;769;7149;20150702180000;101910;100;3;10;4.100000;303.150000;289.550000;44;25000;3;2;2;60;2;1750;32;28;11;100890;mq;mq;720;295.850000;mq;304.750000;mq;mq;mq;mq;7.100000;7.800000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;2;8;1700;2;3;3000;5;0;8000;mq;mq;mq;;2015-07-02 18:00:00
825;825;7149;20150702210000;102120;190;3;50;5.000000;299.150000;288.550000;52;30000;1;2;2;60;2;4200;30;28;12;101080;mq;mq;700;mq;mq;mq;mq;mq;mq;mq;7.700000;7.700000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;2;3;4200;5;0;8000;mq;mq;mq;mq;mq;mq;;2015-07-02 21:00:00
881;881;7149;20150703000000;102340;210;1;350;4.200000;295.250000;288.550000;66;30000;2;0;0;25;0;8000;30;20;11;101290;mq;mq;770;mq;mq;mq;mq;mq;mq;mq;6.400000;7.800000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;2;0;8000;mq;mq;mq;mq;mq;mq;mq;mq;mq;;2015-07-03 00:00:00
937;937;7149;20150703030000;102400;50;2;20;4.800000;292.150000;288.050000;77;59870;2;0;0;0;0;mq;30;20;10;101340;mq;mq;740;mq;mq;mq;mq;mq;mq;mq;7.400000;8.000000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;;2015-07-03 03:00:00
993;993;7149;20150703060000;102410;10;0;30;4.100000;293.050000;288.450000;75;36950;2;0;0;25;0;mq;30;20;11;101350;mq;mq;700;291.350000;mq;303.050000;mq;mq;mq;mq;6.500000;7.400000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;2;0;7800;mq;mq;mq;mq;mq;mq;mq;mq;mq;;2015-07-03 06:00:00
1049;1049;7149;20150703090000;102310;-80;7;80;2.700000;297.350000;289.850000;63;19290;2;2;2;90;0;mq;30;20;11;101270;mq;mq;570;mq;mq;mq;mq;mq;mq;mq;4.800000;5.000000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;7;0;8000;mq;mq;mq;mq;mq;mq;mq;mq;mq;;2015-07-03 09:00:00
1105;1105;7149;20150703120000;102050;-240;6;90;4.100000;304.250000;292.250000;49;19160;2;0;0;25;0;mq;30;20;11;101030;mq;mq;310;mq;mq;mq;mq;mq;mq;mq;7.300000;7.300000;-10;0;0.000000;0.000000;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;2;0;8000;mq;mq;mq;mq;mq;mq;mq;mq;mq;;2015-07-03 12:00:00
