Date;Visiteurs presents
01/01/2017;0
02/01/2017;0
03/01/2017;57.1364
04/01/2017;35.6364
05/01/2017;45.9545
06/01/2017;23
07/01/2017;69.1364
08/01/2017;52.1429
09/01/2017;0
10/01/2017;63.4091
11/01/2017;21.7727
12/01/2017;26.3182
13/01/2017;14.2273
14/01/2017;49.7727
15/01/2017;43.1429
16/01/2017;0
17/01/2017;39.3636
18/01/2017;32.4545
19/01/2017;33.4091
20/01/2017;26.6364
21/01/2017;48.0909
22/01/2017;54.5714
23/01/2017;0
24/01/2017;40
25/01/2017;41
26/01/2017;30.4545
27/01/2017;27.6818
28/01/2017;50.3636
29/01/2017;64.2143
30/01/2017;0
31/01/2017;20.6818
01/02/2017;23.0455
02/02/2017;36.5455
03/02/2017;24.5455
04/02/2017;53.9091
05/02/2017;43.5714
06/02/2017;0
07/02/2017;37.9545
08/02/2017;20.5
09/02/2017;38.0455
10/02/2017;28.5455
11/02/2017;24.2273
12/02/2017;47.4286
13/02/2017;0
14/02/2017;67.2727
15/02/2017;70.8182
16/02/2017;36.9545
17/02/2017;76.2273
18/02/2017;79.3182
19/02/2017;76
20/02/2017;0
21/02/2017;28.1818
22/02/2017;60.0909
23/02/2017;27.5455
24/02/2017;60.6364
25/02/2017;60.1364
26/02/2017;64.8571
27/02/2017;0
28/02/2017;44.3182
01/03/2017;38.9091
02/03/2017;22.8182
03/03/2017;32.6818
04/03/2017;102.1364
05/03/2017;60.8571
06/03/2017;0
07/03/2017;36.2273
08/03/2017;37.1364
09/03/2017;41.5
10/03/2017;31.3636
11/03/2017;65.9091
12/03/2017;98.4286
13/03/2017;0
14/03/2017;33.2273
15/03/2017;51.7273
16/03/2017;43.1818
17/03/2017;38.2273
18/03/2017;70.8636
19/03/2017;74
20/03/2017;0
21/03/2017;37.0909
22/03/2017;38.1364
23/03/2017;18.6364
24/03/2017;24.8182
25/03/2017;68.7727
26/03/2017;76.3571
27/03/2017;0
28/03/2017;30.3636
29/03/2017;35
30/03/2017;24
31/03/2017;30.4091
01/04/2017;108.0455
02/04/2017;88.5714
03/04/2017;0
04/04/2017;103.8636
05/04/2017;52.6818
06/04/2017;57.1818
07/04/2017;35.9545
08/04/2017;73.3636
09/04/2017;84.3571
10/04/2017;0
11/04/2017;52.5455
12/04/2017;51.0455
13/04/2017;102.2727
14/04/2017;72.5909
15/04/2017;58.8182
16/04/2017;0
17/04/2017;0
18/04/2017;29.8636
