;day_of_week;day_of_year;hour;Vacances_C;Férié;Real visitor number;Predicted visitor number
0;0,0;1,0;0,0;1,0;1,0;0,0;0,0
1;0,0;1,0;30,0;1,0;1,0;0,0;0,0
2;0,0;1,0;100,0;1,0;1,0;0,0;0,0
3;0,0;1,0;130,0;1,0;1,0;0,0;0,0
4;0,0;1,0;200,0;1,0;1,0;0,0;0,0
5;0,0;1,0;230,0;1,0;1,0;0,0;0,0
6;0,0;1,0;300,0;1,0;1,0;0,0;0,0
7;0,0;1,0;330,0;1,0;1,0;0,0;0,0
8;0,0;1,0;400,0;1,0;1,0;0,0;0,0
9;0,0;1,0;430,0;1,0;1,0;0,0;0,0
10;0,0;1,0;500,0;1,0;1,0;0,0;0,0
11;0,0;1,0;530,0;1,0;1,0;0,0;0,0
12;0,0;1,0;600,0;1,0;1,0;0,0;0,0
13;0,0;1,0;630,0;1,0;1,0;0,0;0,0
14;0,0;1,0;700,0;1,0;1,0;0,0;0,0
15;0,0;1,0;730,0;1,0;1,0;0,0;0,0
16;0,0;1,0;800,0;1,0;1,0;0,0;0,0
17;0,0;1,0;830,0;1,0;1,0;0,0;0,0
18;0,0;1,0;900,0;1,0;1,0;0,0;0,0
19;0,0;1,0;930,0;1,0;1,0;0,0;0,0
20;0,0;1,0;1000,0;1,0;1,0;0,0;0,0
21;0,0;1,0;1030,0;1,0;1,0;0,0;0,0
22;0,0;1,0;1100,0;1,0;1,0;0,0;0,0
23;0,0;1,0;1130,0;1,0;1,0;0,0;0,0
24;0,0;1,0;1200,0;1,0;1,0;0,0;0,0
25;0,0;1,0;1230,0;1,0;1,0;0,0;0,0
26;0,0;1,0;1300,0;1,0;1,0;0,0;0,0
27;0,0;1,0;1330,0;1,0;1,0;0,0;0,0
28;0,0;1,0;1400,0;1,0;1,0;0,0;0,0
29;0,0;1,0;1430,0;1,0;1,0;0,0;0,0
30;0,0;1,0;1500,0;1,0;1,0;0,0;0,0
31;0,0;1,0;1530,0;1,0;1,0;0,0;0,0
32;0,0;1,0;1600,0;1,0;1,0;0,0;0,0
33;0,0;1,0;1630,0;1,0;1,0;0,0;0,0
